head;relation;tail
other protective service workers;broadMatch;protective service occupations
supervisors of protective service workers;narrowMatch;first-line supervisors of law enforcement workers
forest fire inspectors and prevention specialists;broadMatch;fire inspectors
transportation security screeners;broadMatch;miscellaneous protective service workers
law enforcement workers;narrowMatch;bailiffs, correctional officers, and jailers
law enforcement workers;narrowMatch;detectives and criminal investigators
other protective service workers;narrowMatch;animal control workers
animal control workers;broadMatch;other protective service workers
other protective service workers;narrowMatch;private detectives and investigators
private detectives and investigators;broadMatch;other protective service workers
other protective service workers;narrowMatch;security guards and gambling surveillance officers
security guards and gambling surveillance officers;broadMatch;other protective service workers
other protective service workers;narrowMatch;miscellaneous protective service workers
customs and border protection officers;broadMatch;police and sheriffâs patrol officers
miscellaneous protective service workers;broadMatch;other protective service workers
gambling surveillance officers and gambling investigators;broadMatch;security guards and gambling surveillance officers
security guards and gambling surveillance officers;narrowMatch;security guards
security guards;broadMatch;security guards and gambling surveillance officers
miscellaneous protective service workers;narrowMatch;crossing guards and flaggers
crossing guards and flaggers;broadMatch;miscellaneous protective service workers
miscellaneous protective service workers;narrowMatch;lifeguards, ski patrol, and other recreational protective service workers
lifeguards, ski patrol, and other recreational protective service workers;broadMatch;miscellaneous protective service workers
security guards and gambling surveillance officers;narrowMatch;gambling surveillance officers and gambling investigators
police and sheriffâs patrol officers;narrowMatch;customs and border protection officers
transit and railroad police;broadMatch;police officers
police officers;narrowMatch;transit and railroad police
detectives and criminal investigators;broadMatch;law enforcement workers
law enforcement workers;narrowMatch;fish and game wardens
fish and game wardens;broadMatch;law enforcement workers
law enforcement workers;narrowMatch;parking enforcement workers
parking enforcement workers;broadMatch;law enforcement workers
law enforcement workers;narrowMatch;police officers
police officers;broadMatch;law enforcement workers
bailiffs, correctional officers, and jailers;narrowMatch;bailiffs
bailiffs;broadMatch;bailiffs, correctional officers, and jailers
bailiffs, correctional officers, and jailers;narrowMatch;correctional officers and jailers
correctional officers and jailers;broadMatch;bailiffs, correctional officers, and jailers
detectives and criminal investigators;narrowMatch;police identification and records officers
